Date,Type,Exchange,Base amount,Base currency,Quote amount,Quote currency,Fee,Fee currency,Costs/Proceeds,Costs/Proceeds currency,Sync Holdings,Sent/Received from,Sent to,Notes
Fri Mar 12 00:13:41 CET 2021,transfer,Uphold,,,,,,,,,,,,
Fri Mar 12 00:13:26 CET 2021,transfer,Uphold,,,,,,,,,,,,
Mon Mar 08 22:59:47 CET 2021,in,Uphold,,,,,,,,,,,,
Fri Mar 05 17:39:21 CET 2021,transfer,Uphold,,,,,,,,,,,,
Mon Mar 01 09:15:17 CET 2021,transfer,Uphold,,,,,,,,,,,,
Sun Feb 28 01:17:33 CET 2021,transfer,Uphold,,,,,,,,,,,,
Fri Feb 26 22:09:27 CET 2021,transfer,Uphold,,,,,,,,,,,,
Mon Feb 22 23:48:15 CET 2021,transfer,Uphold,,,,,,,,,,,,
Thu Feb 18 13:38:39 CET 2021,transfer,Uphold,,,,,,,,,,,,
Fri Feb 12 19:31:56 CET 2021,transfer,Uphold,,,,,,,,,,,,
Thu Feb 11 18:13:32 CET 2021,transfer,Uphold,,,,,,,,,,,,
Thu Feb 11 17:22:10 CET 2021,transfer,Uphold,,,,,,,,,,,,
Wed Feb 10 08:58:14 CET 2021,transfer,Uphold,,,,,,,,,,,,
Wed Feb 10 08:57:17 CET 2021,transfer,Uphold,,,,,,,,,,,,
Tue Feb 09 01:10:46 CET 2021,in,Uphold,,,,,,,,,,,,
Mon Feb 08 15:20:18 CET 2021,transfer,Uphold,,,,,,,,,,,,
Sun Feb 07 17:34:39 CET 2021,transfer,Uphold,,,,,,,,,,,,
Thu Feb 04 20:36:00 CET 2021,transfer,Uphold,,,,,,,,,,,,
Sun Jan 31 16:54:46 CET 2021,transfer,Uphold,,,,,,,,,,,,
Sun Jan 31 16:12:55 CET 2021,transfer,Uphold,,,,,,,,,,,,
Sat Jan 30 16:08:29 CET 2021,transfer,Uphold,,,,,,,,,,,,
Wed Jan 27 22:03:17 CET 2021,transfer,Uphold,,,,,,,,,,,,
Fri Jan 22 15:14:30 CET 2021,transfer,Uphold,,,,,,,,,,,,
Fri Jan 08 09:53:11 CET 2021,in,Uphold,,,,,,,,,,,,
Mon Dec 07 00:04:04 CET 2020,in,Uphold,,,,,,,,,,,,
Wed Nov 25 19:30:32 CET 2020,in,Uphold,,,,,,,,,,,,
Wed Nov 25 19:27:46 CET 2020,in,Uphold,,,,,,,,,,,,
Tue Nov 24 11:48:32 CET 2020,in,Uphold,,,,,,,,,,,,
Tue Nov 24 11:45:31 CET 2020,in,Uphold,,,,,,,,,,,,
Mon Nov 23 22:38:00 CET 2020,in,Uphold,,,,,,,,,,,,
Mon Nov 23 22:34:33 CET 2020,in,Uphold,,,,,,,,,,,,
Mon Nov 23 22:19:11 CET 2020,in,Uphold,,,,,,,,,,,,
Fri Nov 06 08:12:03 CET 2020,in,Uphold,,,,,,,,,,,,
Wed Oct 21 21:08:08 CEST 2020,out,Uphold,,,,,,,,,,,,
Wed Oct 07 12:15:30 CEST 2020,in,Uphold,,,,,,,,,,,,
Sun Sep 20 23:36:49 CEST 2020,out,Uphold,,,,,,,,,,,,
Sun Sep 20 12:53:14 CEST 2020,in,Uphold,,,,,,,,,,,,
Sun Sep 06 10:46:44 CEST 2020,in,Uphold,,,,,,,,,,,,
Fri Aug 21 23:37:10 CEST 2020,out,Uphold,,,,,,,,,,,,
Sat Aug 08 14:14:17 CEST 2020,in,Uphold,,,,,,,,,,,,
Sat Jul 18 16:56:37 CEST 2020,in,Uphold,,,,,,,,,,,,
